Abbildung,图示/图,Die Abbildung zeigt die empirische Verteilung der Daten.（该图展示了数据的经验分布。）
Survived,是否幸存,Der Begriff Survived ist in der Statistik ein wichtiger Fachausdruck.（术语 Survived 是统计学中的重要专业表达，意思是是否幸存。）
Survivorfunktion,生存函数,"Der Begriff Survivorfunktion wird verwendet, um eine Verteilung oder eine Transformation formal zu beschreiben.（生存函数用于形式化描述分布或变换。）"
symmetrische Verteilung,对称分布,"Die symmetrische Verteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（对称分布描述概率如何分布在可能取值上。）"
t-Verteilung,t 分布,"Die t-Verteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（t 分布描述概率如何分布在可能取值上。）"
Teilmenge,子集,Der Begriff Teilmenge ist in der Statistik ein wichtiger Fachausdruck.（术语 Teilmenge 是统计学中的重要专业表达，意思是子集。）
Temperatur,温度,Der Begriff Temperatur ist in der Statistik ein wichtiger Fachausdruck.（术语 Temperatur 是统计学中的重要专业表达，意思是温度。）
Testergebnis,测试结果,Der Begriff Testergebnis ist in der Statistik ein wichtiger Fachausdruck.（术语 Testergebnis 是统计学中的重要专业表达，意思是测试结果。）
Titanic,Titanic 案例,Der Begriff Titanic ist in der Statistik ein wichtiger Fachausdruck.（术语 Titanic 是统计学中的重要专业表达，意思是Titanic 案例。）
Träger,支撑集,Der Begriff Träger ist in der Statistik ein wichtiger Fachausdruck.（术语 Träger 是统计学中的重要专业表达，意思是支撑集。）
Transformationssatz,变换定理,Der Begriff Transformationssatz ist in der Statistik ein wichtiger Fachausdruck.（术语 Transformationssatz 是统计学中的重要专业表达，意思是变换定理。）
Treppenfunktion,阶梯函数,"Der Begriff Treppenfunktion wird verwendet, um eine Verteilung oder eine Transformation formal zu beschreiben.（阶梯函数用于形式化描述分布或变换。）"
überabzählbar,不可数的,Der Begriff überabzählbar ist in der Statistik ein wichtiger Fachausdruck.（术语 überabzählbar 是统计学中的重要专业表达，意思是不可数的。）
Übergangsmatrix,转移矩阵,Der Begriff Übergangsmatrix fasst mehrere zusammengehörige Größen in Tabellenform zusammen.（转移矩阵以表格形式汇总多个相关量。）
Überleben,生存/幸存,Der Begriff Überleben ist in der Statistik ein wichtiger Fachausdruck.（术语 Überleben 是统计学中的重要专业表达，意思是生存/幸存。）
unabhängig,独立的,Der Begriff unabhängig ist in der Statistik ein wichtiger Fachausdruck.（术语 unabhängig 是统计学中的重要专业表达，意思是独立的。）
Unabhängigkeit,独立,Bei Unabhängigkeit faktorisiert die gemeinsame Verteilung in die Randverteilungen.（独立时，联合分布可分解为边际分布的乘积。）
unkorreliert,不相关,Der Begriff unkorreliert ist in der Statistik ein wichtiger Fachausdruck.（术语 unkorreliert 是统计学中的重要专业表达，意思是不相关。）
Unsicherheit,不确定性,Der Begriff Unsicherheit ist in der Statistik ein wichtiger Fachausdruck.（术语 Unsicherheit 是统计学中的重要专业表达，意思是不确定性。）
Untersuchungseinheit,研究单位,Der Begriff Untersuchungseinheit ist in der Statistik ein wichtiger Fachausdruck.（术语 Untersuchungseinheit 是统计学中的重要专业表达，意思是研究单位。）
Urbild,原像,Der Begriff Urbild ist in der Statistik ein wichtiger Fachausdruck.（术语 Urbild 是统计学中的重要专业表达，意思是原像。）
Urnenmodell,抽球模型,Der Begriff Urnenmodell ist in der Statistik ein wichtiger Fachausdruck.（术语 Urnenmodell 是统计学中的重要专业表达，意思是抽球模型。）
Variable,变量,Der Begriff Variable bezeichnet ein zentrales Objekt in einem statistischen Modell.（变量表示统计模型中的核心对象。）
Varianz,方差,Die Varianz misst die mittlere quadratische Abweichung vom Erwartungswert.（方差衡量相对期望的平均平方偏离。）
Variationskoeffizient,变异系数,Der Begriff Variationskoeffizient ist in der Statistik ein wichtiger Fachausdruck.（术语 Variationskoeffizient 是统计学中的重要专业表达，意思是变异系数。）
Vereinigung,并集,Der Begriff Vereinigung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（并集在解释统计结果时很重要。）
Vermögen,财富,Der Begriff Vermögen ist in der Statistik ein wichtiger Fachausdruck.（术语 Vermögen 是统计学中的重要专业表达，意思是财富。）
Verteilung,分布,Die Verteilung einer Zufallsvariable beschreibt ihre Wahrscheinlichkeiten auf dem Wertebereich.（随机变量的分布描述其在值域上的概率。）
Verteilungsfunktion,分布函数,"Die Verteilungsfunktion beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（分布函数描述概率如何分布在可能取值上。）"
Verzerrung,偏倚,Der Begriff Verzerrung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（偏倚在解释统计结果时很重要。）
Vierfeldertafel,四格表,Der Begriff Vierfeldertafel ist in der Statistik ein wichtiger Fachausdruck.（术语 Vierfeldertafel 是统计学中的重要专业表达，意思是四格表。）
Vitali-Menge,Vitali 集,Der Begriff Vitali-Menge ist in der Statistik ein wichtiger Fachausdruck.（术语 Vitali-Menge 是统计学中的重要专业表达，意思是Vitali 集。）
Vollerhebung,全体调查,Der Begriff Vollerhebung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（全体调查在解释统计结果时很重要。）
Wahl,选举,Der Begriff Wahl ist in der Statistik ein wichtiger Fachausdruck.（术语 Wahl 是统计学中的重要专业表达，意思是选举。）
Wahlbeteiligung,投票率,Der Begriff Wahlbeteiligung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（投票率在解释统计结果时很重要。）
Wahlfälschung,选举舞弊,Der Begriff Wahlfälschung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（选举舞弊在解释统计结果时很重要。）
Wahlumfrage,选举民调,Der Begriff Wahlumfrage ist in der Statistik ein wichtiger Fachausdruck.（术语 Wahlumfrage 是统计学中的重要专业表达，意思是选举民调。）
Wahlverhalten,投票行为,Der Begriff Wahlverhalten ist in der Statistik ein wichtiger Fachausdruck.（术语 Wahlverhalten 是统计学中的重要专业表达，意思是投票行为。）
Wahrscheinlichkeit,概率,Eine Wahrscheinlichkeit liegt immer zwischen null und eins.（概率总是在 0 和 1 之间。）
Wahrscheinlichkeitsauffassung,概率解释,Der Begriff Wahrscheinlichkeitsauffassung muss im jeweiligen Wahrscheinlichkeitsmodell präzise definiert werden.（概率解释这个概念必须在相应概率模型中被精确定义。）
Wahrscheinlichkeitsfunktion,概率函数,Der Begriff Wahrscheinlichkeitsfunktion muss im jeweiligen Wahrscheinlichkeitsmodell präzise definiert werden.（概率函数这个概念必须在相应概率模型中被精确定义。）
Wahrscheinlichkeitsmaß,概率测度,Ein Wahrscheinlichkeitsmaß ordnet jedem messbaren Ereignis eine Zahl zwischen null und eins zu.（概率测度给每个可测事件赋予 0 到 1 之间的数。）
Wahrscheinlichkeitsraum,概率空间,Der Begriff Wahrscheinlichkeitsraum muss im jeweiligen Wahrscheinlichkeitsmodell präzise definiert werden.（概率空间这个概念必须在相应概率模型中被精确定义。）
Wahrscheinlichkeitstheorie,概率论,Der Begriff Wahrscheinlichkeitstheorie muss im jeweiligen Wahrscheinlichkeitsmodell präzise definiert werden.（概率论这个概念必须在相应概率模型中被精确定义。）
Wahrscheinlichkeitsverteilung,概率分布,"Die Wahrscheinlichkeitsverteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（概率分布描述概率如何分布在可能取值上。）"
Weibull-Verteilung,Weibull 分布,"Die Weibull-Verteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（Weibull 分布描述概率如何分布在可能取值上。）"
Wertebereich,值域,Der Begriff Wertebereich ist in der Statistik ein wichtiger Fachausdruck.（术语 Wertebereich 是统计学中的重要专业表达，意思是值域。）
Wetterstation,气象站,Der Begriff Wetterstation ist in der Statistik ein wichtiger Fachausdruck.（术语 Wetterstation 是统计学中的重要专业表达，意思是气象站。）
Zentraler Grenzwertsatz,中心极限定理,Der zentrale Grenzwertsatz liefert die Grundlage für viele Normalapproximationen.（中心极限定理为许多正态近似提供基础。）
Zero-inflated Poisson,零膨胀 Poisson 分布,Der Begriff Zero-inflated Poisson ist in der Statistik ein wichtiger Fachausdruck.（术语 Zero-inflated Poisson 是统计学中的重要专业表达，意思是零膨胀 Poisson 分布。）
Zufall,随机/偶然,Der Begriff Zufall ist in der Statistik ein wichtiger Fachausdruck.（术语 Zufall 是统计学中的重要专业表达，意思是随机/偶然。）
Zufallsprozess,随机过程,Der Begriff Zufallsprozess ist in der Statistik ein wichtiger Fachausdruck.（术语 Zufallsprozess 是统计学中的重要专业表达，意思是随机过程。）
Zufallsvariable,随机变量,Eine Zufallsvariable ist eine messbare Abbildung vom Ergebnisraum in einen Wertebereich.（随机变量是从结果空间到值域的可测映射。）
Zufallsvektor,随机向量,Der Begriff Zufallsvektor ist in der Statistik ein wichtiger Fachausdruck.（术语 Zufallsvektor 是统计学中的重要专业表达，意思是随机向量。）
zulässige Transformation,允许变换,Der Begriff zulässige Transformation ist in der Statistik ein wichtiger Fachausdruck.（术语 zulässige Transformation 是统计学中的重要专业表达，意思是允许变换。）
Zusammenhang,关系/关联,Der Begriff Zusammenhang ist in der Statistik ein wichtiger Fachausdruck.（术语 Zusammenhang 是统计学中的重要专业表达，意思是关系/关联。）
Zusammenhangsmaß,关联度量,Der Begriff Zusammenhangsmaß ordnet mathematischen Objekten eine interpretierbare Größe zu.（关联度量给数学对象赋予可解释的大小。）
